Period,Power_Generation,Pumped_Storage,Coal_Fired,Oil_Fired,LNG_Fired,Nuclear,Renewable_Generation,Hydro,Geothermal,Solar_PV,Wind_Onshore,Wind_Offshore,Biomass_Solid,Biomass_Biogas,Waste
200601,17606499.08,317056.16,9262766.373,1877463.268,1925726.256,3663361.8,560125.22,220043.018,0,106,23000.795,0,23289.11388,4940.8,288745.494
200602,15925042.71,276932.84,8462941.559,2038475.65,1684759.427,2950230.8,511702.438,234439.159,0,107,20475.448,0,25324.0012,4324.32,227032.51
200603,18319633.7,310919.84,9451596.282,2126256.39,2836001.887,3012590.8,582268.496,292449.046,0,111,13650.348,0,23102.2991,4502.79,248453.013
200604,18777765.09,322054.28,10249842.75,1466218.585,3142534.309,2952539.4,644575.773,390430.23,0,111,12910.691,0,21927.31224,3997.09,215199.45
200605,20455933.62,346157.96,11072354.06,1594432.936,3647102.241,3050911.2,744975.218,454428.211,0,114,19415.649,0,22777.86697,4392.3,243847.192
200606,20848742.91,336423.8,10793970.98,1772482.967,3855307.285,3391830.6,698727.274,388204.343,0,121,17480.158,0,20529.8369,5277.048,267114.889
200607,22757899.79,356922.96,11883032.8,1743892.585,4278417.899,3693477,802156.547,479157.529,0,125,16568.948,0,21669.2376,4605.82,280030.013
200608,22801100.44,354648.72,11257184.04,1782280.133,4909150.963,3729676.2,768160.378,450714.522,0,126,9142.119,0,21000.20628,4575.48,282602.051
200609,20624409.41,322590.361,11137501.68,1391730.344,3817623.128,3231741.4,723222.497,395081.947,0,128,26449.294,0,19483.61671,4674.217373,277405.422
200610,20117993.11,314158.32,10802784.09,1507888.391,3657952.937,3239958.6,595250.77,294317.977,0,132,34982.831,0,22300.42145,4341.788795,239175.752
200611,18803890.21,314474.6,9975074.921,1407255.728,3359108.803,3190021.6,557954.558,271338.841,0,135,33818.617,0,21702.82956,4511.022075,226448.249
200612,18491215.45,338326.88,9699753.929,1138210.075,2996036.932,3764158.4,554729.234,217745.944,0,141,48179.834,0,23742.72883,4300.077182,260619.65
200701,18636981.46,328191.28,9768068.955,1376054.86,2698670.899,3823336.8,642658.662,251243.717,0,143,73531.037,0,20166.01603,5338.447064,292236.445
200702,15853810.93,280323.28,8441752.993,1257701.734,2157389.142,3171947.6,544696.177,222860.339,0,146,34845.063,0,19854.58523,4171.321634,262818.869
200703,19241422.78,316280.44,10394696.24,1253930.808,3364096.22,3254930.8,657488.267,304734.103,0,149,40499.739,0,25519.26667,4818.174376,281767.984
200704,18762235.82,329048.48,10354528.5,969900.146,3359722.812,3082325.8,666710.084,387173.948,0,155,32230.151,0,20630.5319,4741.083692,221779.37
